"block","transition","covariate","a_ij","a_lower","a_upper","beta","beta_lower","beta_upper","HR","HR_lower","HR_upper","significant","fixed"
"baseline_rate","1->2",NA,0.541828794604206,0.503194460555358,0.583429400908418,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","1->6",NA,0.00522931127221641,0.00411428202961357,0.00664652937861385,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","2->3",NA,0.166541514356803,0.156690261666757,0.177012123850078,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","2->6",NA,0.014826619490963,0.0120741160548576,0.0182066036578607,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","3->4",NA,0.192641728032409,0.180921410300022,0.205121302767713,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","3->6",NA,0.0207465346648985,0.0170732919048953,0.0252100592550887,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","4->5",NA,0.288478303037698,0.270624646041069,0.307509802011458,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","4->6",NA,0.0165480567890889,0.0125492310652256,0.021821112550372,NA,NA,NA,NA,NA,NA,NA,FALSE
"baseline_rate","5->6",NA,0.074566526631608,0.0679746603679477,0.0817976414123301,NA,NA,NA,NA,NA,NA,NA,FALSE
"covariate","1->2","sex",NA,NA,NA,0.0113436763001059,-0.0389849782684196,0.0616723308686316,1.01140825976974,0.961765156415878,1.06361377422174,FALSE,FALSE
"covariate","1->6","sex",NA,NA,NA,0.307426887163634,0.0111516360121382,0.60370213831513,1.35992137715803,1.01121404728519,1.82887703846327,TRUE,FALSE
"covariate","2->3","sex",NA,NA,NA,0.114179889692487,0.0706942575084002,0.157665521876573,1.12095375477428,1.07325303664268,1.17077453074181,TRUE,FALSE
"covariate","2->6","sex",NA,NA,NA,0.206305652063145,0.0514626055922731,0.361148698534016,1.22912883235008,1.0528098163565,1.43497682396484,TRUE,FALSE
"covariate","3->4","sex",NA,NA,NA,0.226700918655622,0.184201833556295,0.269200003754948,1.25445462785286,1.20225845470938,1.30891690316444,TRUE,FALSE
"covariate","3->6","sex",NA,NA,NA,0.354302384888338,0.202626823992986,0.505977945783689,1.42518607606183,1.22461538588689,1.65860675507479,TRUE,FALSE
"covariate","4->5","sex",NA,NA,NA,0.133216930978581,0.0916777007923766,0.174756161164786,1.14249781461936,1.0960115215047,1.19095577993376,TRUE,FALSE
"covariate","4->6","sex",NA,NA,NA,0.600972060231245,0.358760644486911,0.843183475975579,1.823890870753,1.4315541101922,2.32375282550061,TRUE,FALSE
"covariate","5->6","sex",NA,NA,NA,0.209380268861453,0.149677202460397,0.269083335262508,1.23291374810643,1.16145926601734,1.30876420271046,TRUE,FALSE
"covariate","1->2","htn_baseline",NA,NA,NA,-0.419123295461685,-0.490795563121957,-0.347451027801413,0.657623108324338,0.61213920503822,0.706486611285029,TRUE,FALSE
"covariate","1->6","htn_baseline",NA,NA,NA,0.6945,0.6945,0.6945,2.0027074698261,2.0027074698261,2.0027074698261,TRUE,FALSE
"covariate","2->3","htn_baseline",NA,NA,NA,-0.0337511384914957,-0.0942173633272681,0.0267150863442768,0.966812077013589,0.910084921653235,1.02707513334177,FALSE,FALSE
"covariate","2->6","htn_baseline",NA,NA,NA,-0.187206706541323,-0.389313929463151,0.0149005163805048,0.82927230265828,0.677521542650867,1.01501208251697,FALSE,FALSE
"covariate","3->4","htn_baseline",NA,NA,NA,0.0884484737167954,0.0256477265561568,0.151249220877434,1.09247795983146,1.02597945948819,1.16328653724987,TRUE,FALSE
"covariate","3->6","htn_baseline",NA,NA,NA,-0.286945368900383,-0.480558035449171,-0.0933327023515943,0.750552731238083,0.618438185065912,0.910890394500636,TRUE,FALSE
"covariate","4->5","htn_baseline",NA,NA,NA,1.32598140118099,1.2629978082965,1.38896499406547,3.76587938051441,3.53600588221552,4.01069680904994,TRUE,FALSE
"covariate","4->6","htn_baseline",NA,NA,NA,0.498609818751098,0.245550528725142,0.751669108777054,1.64643084172951,1.27832487408513,2.12053647046348,TRUE,FALSE
"covariate","5->6","htn_baseline",NA,NA,NA,0.124122359514142,0.0350228939312743,0.213221825097009,1.13215439238568,1.03564341847747,1.23765916465976,TRUE,FALSE
